"시군구별(1)",시군구별(2),2023,2023,2023,2023,2023,2023,2023
"시군구별(1)",시군구별(2),신고인원 (명),총수입금액 (백만원),종합소득금액 (백만원),과세표준 (백만원),산출세액 (백만원),세액공제 및 감면 (백만원),결정세액 (백만원)
"광주",서구,58827,8574533,2011149,1643785,330401,57702,273018
"전북",소계,304254,41203898,8373722,6555211,1106858,256856,851104
"전북",고창군,6791,926011,161706,125438,18768,3760,15036
"전북",군산시,45793,6220959,1249271,976742,160066,46049,114152
"전북",김제시,12051,1610985,281611,216168,33314,8358,24980
"전북",남원시,11338,1492338,270530,206074,30740,6840,23920
"전북",무주군,3268,390931,74086,56268,7612,1821,5804
"전북",부안군,6990,970784,154603,118426,17393,4438,12968
"전북",순창군,3543,420641,76859,57251,7256,2030,5235
"전북",완주군,17406,2006568,412338,310318,43001,12095,31023
"전북",익산시,46155,6458537,1233260,962174,161394,39186,122391
"전북",임실군,3438,406599,74206,56196,7360,2020,5345
"전북",장수군,2496,255385,50661,37542,4597,1304,3301
"전북",전주시,125892,17511200,3886716,3091988,566458,116672,450263
"전북",정읍시,15706,2118792,373218,284115,41347,10339,31065
"전북",진안군,3387,414169,74656,56509,7551,1943,5620
"전남",소계,284441,38967996,7894186,6197363,1041342,230493,811943
"전남",강진군,4279,565608,94553,71899,10037,2441,7606
"전남",고흥군,6998,973517,149570,114722,15727,3749,12004
"전남",곡성군,3659,406980,83467,63614,9004,2201,6812
"전남",광양시,25955,3277247,797140,626108,101830,23294,78639
"전남",구례군,3272,396489,72733,55159,7734,1996,5750
"전남",나주시,19504,2351813,498451,376582,55825,15342,40549
"전남",담양군,7101,979636,190434,150564,24317,4936,19404
"전남",목포시,36866,4917143,940678,730379,122321,26463,96013
"전남",무안군,13929,1948810,399860,310777,53713,11798,41960
"전남",보성군,4665,582749,107735,83541,12810,2951,9866
"전남",순천시,49327,7000104,1531461,1215093,216716,43421,173501
"전남",신안군,5193,734499,117419,91952,13206,3000,10214
"전남",여수시,45676,6860763,1549493,1259753,243368,50893,192693
"전남",영광군,7429,1080398,176710,135381,20190,4860,15354
"전남",영암군,8472,951278,179259,134582,17028,4957,12105
"전남",완도군,5854,1078727,136560,106559,15894,3806,12142
"전남",장성군,6681,817340,165385,128103,19085,4659,14445
"전남",장흥군,4284,572250,95395,71850,9563,2302,7270
"전남",진도군,3465,478845,77622,59359,8633,2065,6586
"전남",함평군,3880,546593,91703,70906,10955,2747,8215
"전남",해남군,8185,1270196,205035,161388,27075,5891,21202
"전남",화순군,9767,1177010,233525,179094,26311,6720,19613
"대구",소계,455022,80755669,15782027,12943544,2635667,560848,2077149
"대구",군위군,3186,453091,83807,67024,11197,2465,8765
"대구",남구,24931,3143042,629911,497787,83982,20086,63982
"대구",달서구,100843,17869200,3273138,2652225,506540,123468,383510
"대구",달성군,48194,7498717,1318169,1022601,167390,49775,117848
"대구",동구,62300,8793925,1671482,1295368,212712,57222,155701
"대구",북구,81377,14250344,2229972,1748604,286774,84514,202553
"대구",서구,27136,3713353,600530,459614,67097,21541,45624
"대구",수성구,86919,21276487,5263569,4617479,1184156,176010,1009009
"대구",중구,20136,3757511,711448,582842,115818,25767,90157
"경북",소계,424691,60523672,11757976,9260811,1541917,380580,1162935
"경북",경산시,48744,6311275,1196267,916414,140702,42138,98706
"경북",경주시,44796,6616469,1329940,1065265,183616,44454,139299
"경북",고령군,4630,940704,134085,108708,19279,5518,13781
"경북",구미시,76416,9847132,2167016,1712042,294799,79757,215262
"경북",김천시,20204,2640926,530862,411367,65729,16346,49504
"경북",문경시,10345,1440114,267354,210011,33491,7594,25973
"경북",봉화군,3357,445919,81203,63597,9429,2448,6984
"경북",상주시,12796,1770173,318014,246623,36799,9187,27656
"경북",성주군,5825,1170250,167681,135945,24635,6485,18181
"경북",안동시,24156,3606232,652407,508330,79898,18402,61575
"경북",영덕군,4809,688132,108157,83719,12201,2885,9326
"경북",영양군,1704,188336,38766,29377,3884,1073,2816
"경북",영주시,14642,2127928,389081,303492,47701,11009,36761
"경북",영천시,14827,2147765,373750,291626,44954,11626,33386
"경북",예천군,7218,1006219,189922,145613,21350,6274,15106
"경북",울릉군,1602,222938,41765,32853,4491,1018,3474
"경북",울진군,6660,948289,177289,139587,21217,4743,16500
"경북",의성군,5657,754666,128373,98727,14218,3992,10248
"경북",청도군,5630,834377,153461,123316,23012,4562,18471
"경북",청송군,2672,325084,56177,42783,5732,1423,4314
"경북",칠곡군,20785,3057769,524930,408170,65409,18868,46601
"경북",포항시,87216,13432975,2731475,2183246,389371,80779,309010
"부산",소계,658169,102641312,22060277,18136969,3724364,779909,2947755
"부산",강서구,29969,6293852,1159546,960245,201185,49383,151983
"부산",금정구,43260,6338487,1481123,1230970,254179,49201,205167
"부산",기장군,33565,4605941,903537,703465,123675,30291,93481
"부산",남구,52507,8488424,1951482,1623045,350632,63333,287608
"부산",동구,16021,1968996,399468,312852,53159,13903,39323
"부산",동래구,54518,8388191,1877170,1533056,303069,62298,241086
"부산",부산진구,74878,10359112,2038990,1618014,283540,69980,213913
"부산",북구,51714,8046951,1559037,1255385,230971,58079,173117
"부산",사상구,38365,5750011,952943,745473,117114,38123,79112
"부산",사하구,54660,7246160,1370759,1070053,173366,50034,123519
"부산",서구,18829,3096649,580378,472355,90137,19325,70892
"부산",수영구,38682,5861602,1246847,1022553,201126,40236,161093
"부산",연제구,42689,5946560,1322032,1062374,196109,43974,152335
"부산",영도구,18929,2238563,470387,370922,59309,15672,43682
"부산",중구,7406,803573,155176,120912,18295,4512,13808
