"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"남아메리카",콜롬비아,1.300,0.100,0.900,2.400,3.800,3.300,5.300,5.400,2.000,0.000,3.300,5.800,2.900,4.100,3.600,2.100,1.100,-0.100,0.700,1.400,-8.500,9.600,6.100,-0.300
"남아메리카",코스타리카,1.900,1.700,1.700,2.700,2.900,2.500,5.800,6.800,3.300,-2.200,4.100,3.200,3.700,1.400,2.400,2.600,3.200,3.200,1.700,1.600,-4.900,7.400,4.100,4.600
"남아메리카",쿠바,5.600,2.900,1.100,3.500,5.500,11.000,11.900,7.200,4.100,1.400,2.400,2.800,3.000,2.800,1.200,4.500,0.600,2.000,2.400,0.100,-10.700,1.700,2.300,-1.600
"남아메리카",에콰도르,3.200,2.400,3.100,1.100,5.000,3.600,2.600,0.200,4.800,-0.600,2.300,6.700,4.100,5.600,2.700,-1.300,-2.100,4.400,-0.700,-1.500,-10.300,9.000,5.300,1.500
"남아메리카",엘살바도르,0.600,0.500,1.300,1.400,0.800,2.700,4.400,1.700,1.800,-2.400,1.800,3.400,2.400,1.800,1.300,2.100,2.300,2.000,2.300,2.400,-8.100,11.500,2.400,3.000
"남아메리카",과테말라,1.200,0.000,1.500,0.200,0.900,1.000,3.200,4.100,1.200,-1.500,0.900,2.100,0.900,1.700,2.500,2.200,0.800,1.200,1.700,2.400,-3.200,6.600,2.700,1.900
"남아메리카",온두라스,2.900,0.000,1.000,1.900,3.600,3.500,4.100,3.800,1.900,-4.500,1.500,1.700,2.000,0.800,1.100,1.900,2.000,2.900,2.000,0.700,-10.500,10.700,2.400,1.800
"남아메리카",자메이카,0.000,0.600,0.100,3.000,0.700,0.300,2.400,1.000,-1.200,-4.700,-1.900,1.300,-1.000,0.100,0.300,0.600,1.100,0.800,1.700,0.800,-10.200,4.300,5.200,2.200
"남아메리카",니카라과,2.700,1.600,-0.500,1.300,4.100,2.900,2.700,3.600,2.000,-4.700,2.900,4.800,5.000,3.500,3.400,3.400,3.200,3.200,-4.600,-4.100,-3.000,9.000,2.400,3.100
"남아메리카",파나마,0.700,-1.400,0.300,2.200,5.500,5.200,6.500,10.100,8.200,-0.200,4.300,9.700,8.200,5.400,3.600,4.300,3.500,4.100,2.300,1.700,-18.800,14.400,9.400,5.900
"남아메리카",파라과이,-5.200,0.300,13.400,3.000,2.900,1.000,3.700,4.400,5.500,-1.300,9.800,2.900,-2.100,6.700,3.800,1.500,2.800,3.300,1.800,-1.700,-2.200,2.800,-1.000,3.400
"남아메리카",페루,1.100,-0.700,4.200,3.100,3.900,5.300,6.700,7.700,8.400,0.500,7.600,5.500,5.300,4.900,1.400,2.100,2.600,1.000,2.100,0.500,-12.000,12.300,1.700,-1.600
